Text,company,startdate,salary,exp,about,skills_required,Page_URL
Junior Operations Associate,"
                        Universal Adventures                    ","
                                Starts Immediately
                            ","
                                    ₹ 2,16,000 - 3,00,000                                ",0-2 years,"
    Key responsibilities:

1. Searching and connecting to vendors
2. Preparing itineraries
3. Taking follow-ups from customers
4. Working on after-sales services

Who can apply:

1. Must have a laptop
2. Ready to relocate to Noida","
                    English Proficiency (Spoken)
                    MS-Excel
                    MS-PowerPoint
            ",https://internshala.com/job/detail/fresher-junior-operations-associate-job-in-noida-at-universal-adventures1708346623
Corporate Sales Executive,"
                        Universal Adventures                    ","
                                Starts Immediately
                            ","
                                    ₹ 4,80,000 - 7,20,000                                ",1-3 years,"
    Key responsibilities: 

1. Identify potential clients and prospects
2. Develop and maintain strong relationships with clients, understanding their business needs
3. Manage and maintain a pipeline, tracking all client interactions and ensuring timely follow-ups
4. Continuously enhance your knowledge of our services to communicate their benefits to clients effectively
5. Travel within Delhi NCR to meet with clients and prospects","
                    English Proficiency (Spoken)
                    English Proficiency (Written)
            ",https://internshala.com/job/detail/corporate-sales-executive-job-in-noida-at-universal-adventures1708403527
Human Resources (HR) Executive,"
                        Helloworld Technologies India Private Limited                    ","
                                Starts Immediately
                            ","
                                    ₹ 2,80,000 - 3,50,000                                ",0-1 years,"
    Key responsibilities:

1. Assisting with the recruitment process, including job posting, resume screening, scheduling interviews, and conducting onboarding activities for new hires
2. Maintaining accurate employee records, updating personal and employment information, and ensuring compliance with data protection regulations
3. Tracking employee attendance, biometrics, managing leave requests, and maintaining leave records using HR software like GreytHR
4. Collaborating with teams to ensure accurate and timely payroll processing, including salary calculations, deductions
5. Assisting in the development and implementation of HR policies, procedures, and guidelines to ensure compliance and consistency across the organization
6. Managing employee benefits programs such as health insurance, retirement plans, and other employee perks

Qualifications:

1. Experience working with HR software like GreytHR 
2. A bachelor's degree in human resources, business administration, psychology, or a related field
3. A strong understanding of human resources principles, practices, and laws is essential. This includes knowledge of employment law, labour relations, compensation and benefits, recruitment, and selection
4. Excellent written and verbal communication skills are necessary for effectively interacting with employees, managers
5. Should possess strong interpersonal skills to build relationships, collaborate with others, and handle sensitive or confidential information with discretion and confidentiality
6. Must be able to address challenges effectively and find creative solutions to complex issues","
                    Effective Communication
                    English Proficiency (Spoken)
                    English Proficiency (Written)
                    MS-Office
                    MS-Word
                    Time Management
            ",https://internshala.com/job/detail/fresher-human-resources-hr-executive-job-in-bangalore-at-helloworld-technologies-india-private-limited1708404289
Business Development Associate,"
                        Yocket                    ","
                                Starts Immediately
                            ","
                                    ₹ 4,00,000 - 6,00,000                                ",1-2 years,"
    Key responsibilities include building rapport with students and their parents.

Requirements:

1. 1 year of experience in sales
2. Bachelor's degree or equivalent experience
3. Excellent written and verbal communication skills
4. Highly organized with excellent attention to detail
5. Prior experience in sales/knowledge of sales tools

Note:

1. The employee will be involved in direct sales
2. Internship to 1 year of experience in sales
3. Needs to have an understanding of the student profile
4. Good to have - CRM knowledge
5. Good target records
6. Open to making from different sources
7. Open to traveling
8. Open to attending virtual events and physical events/seminars/webinars","
                    Effective Communication
                    English Proficiency (Spoken)
                    MS-Excel
                    Sales
            ",https://internshala.com/job/detail/business-development-associate-job-in-mumbai-at-yocket1708404367
Education Loan Counselor,"
                        GyanDhan                    ","
                                Starts Immediately
                            ","
                                    ₹ 2,50,000                                ",0-1 years,"
    Key responsibilities:

1. Work on counseling candidates applying for abroad educational loans on our website
2. Convince them to apply for an education loan through our lending partners
3. Coordinate with bank officials and shepherd the application to approval
4. Explain the features of our education loans to students & answer students' queries 

Requirements:

1. Must be good in communication (English, Hindi)
2. Good analytical skills","
                    Sales pitch
            ",https://internshala.com/job/detail/fresher-education-loan-counselor-job-in-hyderabad-at-gyandhan1708404569
Sales Associate,"
                        Yocket                    ","
                                Starts Immediately
                            ","
                                    ₹ 3,00,000 - 6,00,000                                ",0-2 years,"
    Yocket, established in 2015, is the largest and most active online platform for international education. Our mission is to connect individuals with the world's best learning opportunities. As the largest community-driven platform, we specialize in premium counseling services for students aspiring to pursue higher education abroad. Our comprehensive range of services includes expert counseling, test preparation, visa assistance, and educational loans, facilitating the educational journey for over 10,00,000 students worldwide.

Key responsibilities include building rapport with students and parents, understanding student profiles, and contributing to achieving sales targets.

Requirements:

1. Possessing CRM knowledge is beneficial, and the candidate should be open to diverse sources, travel, and participating in both virtual and physical events

Benefits:

1. Medical insurance for you and your family
2. Collaborative and idea-friendly work culture
3. Access to psychological counseling for mental well-being","
                    Effective Communication
            ",https://internshala.com/job/detail/fresher-sales-associate-job-in-mumbai-at-yocket1708404682
Business Development Executive,"
                        Xboom Utilities Private Limited                    ","
                                Starts Immediately
                            ","
                                    ₹ 2,00,000 - 3,50,000                                ",0-5 years,"
    The business development executive is responsible for identifying and creating new business opportunities, developing and maintaining relationships with potential clients, and driving revenue growth for the company. This role requires a proactive and results-driven individual with strong communication and negotiation skills.

Key responsibilities: 

1. Analyze market trends and competitors to identify opportunities for growth
2. Generate leads through various channels and create proposals for the business
3. Handle inbound calls and schedule meetings with B2B clients
4. Prepare regular reports in CRM to monitor sales activities and progress
5. Build and maintain strong relationships with existing and potential clients
6. Understand client needs and tailor solutions to meet their requirements
7. Conduct product demonstrations and communicate value propositions effectively
8. Negotiate terms and conditions with clients to achieve mutually beneficial agreements
9. Work towards closing deals and achieving sales targets
10. Collaborate with internal teams to align business development strategies with overall company goals
11. Analyze key performance indicators (KPIs) to assess the effectiveness of business development strategies","
                    English Proficiency (Spoken)
                    English Proficiency (Written)
                    MS-Excel
                    Sales
            ",https://internshala.com/job/detail/business-development-executive-job-in-bangalore-at-xboom-utilities-private-limited1708405049
Project Manager,"
                        Brainbean Technolabs Private Limited                    ","
                                Starts Immediately
                            ","
                                    ₹ 2,00,000 - 3,50,000                                ",0-5 years,"
    We are seeking a dynamic project manager to join our team at Brainbean Technolabs Private Limited. If you are passionate about effective communication, possess exceptional English proficiency (both written and spoken), and have a strong background in project management, operations, business analysis, and research, we want to hear from you! 

Key responsibilities:

1. Leading and managing projects from initiation to completion, ensuring all deliverables are met on time and within budget
2. Developing and implementing project plans, timelines, and budgets, while effectively communicating progress to stakeholders
3. Conducting thorough business analysis and research to identify project requirements and scope
4. Collaborating with cross-functional teams to drive project success and streamline operations
5. Utilizing strong time management skills to prioritize tasks and meet project deadlines
6. Monitoring project performance and identifying areas for improvement to optimize project outcomes
7. Providing leadership and mentorship to team members, fostering a collaborative and innovative work environment

If you are a proactive problem-solver with a passion for driving successful project outcomes, apply now to be a part of our growing team at Brainbean Technolabs.","
                    Business Analysis
                    Business Research
                    Effective Communication
                    English Proficiency (Spoken)
                    English Proficiency (Written)
                    Operations
                    Project Management
                    Time Management
            ",https://internshala.com/job/detail/project-manager-job-in-anand-at-brainbean-technolabs-private-limited1708405262
Content Writer,"
                        GyanDhan                    ","
                                Starts Immediately
                            ","
                                    ₹ 4,00,000 - 6,00,000                                ",1-3 years,"
    We are seeking a talented and creative senior content writer to join our team who can conduct thorough research on industry-related topics and produce high-quality written content that resonates with our target audience. As a senior content writer, you will be responsible for crafting compelling content across various platforms. Your role will be pivotal in driving brand awareness, attracting customers, and enhancing GyanDhan's reputation as a thought leader in the industry.

Key responsibilities:

1. Conduct in-depth research on industry-related topics using available sources
2. Understand the mindset of our target audience and tailor content accordingly
3. Demonstrate excellent grammar and writing skills with a keen eye for detail
4. Craft engaging and error-free content for multiple platforms, including website, email marketing, product descriptions, videos, blogs, email copies, WhatsApp copies, YouTube scripts, and more
5. Apply search engine optimization (SEO) strategies to enhance the online visibility of our website in search results
6. Collaborate with cross-functional teams to brainstorm ideas, develop content strategies, and maintain consistent messaging across all platforms
7. Stay updated with industry trends, emerging technologies, and best practices in content writing and digital marketing
8. Monitor and analyze the performance of content to identify areas for improvement and optimize content for maximum impact
9. Maintain a strong understanding of GyanDhan's brand voice, values, and target audience to ensure consistency in all written materials

Skills required:

1. An impeccable grasp of the English language, including idioms and current trends in slang and expressions
2. Ability to work independently with minimal supervision
3. Strong interpersonal skills and willingness to communicate with clients, colleagues, and management
4. Ability to handle multiple projects with different objectives simultaneously
5. Strict adherence to style guides and publication policies
6. Effective time management skills, including prioritizing, scheduling, and adapting as necessary
7. Proficiency with computers and writing programs such as Google Docs, Microsoft Word, Excel, Outlook, and PowerPoint","
                    Content Marketing
                    Content Writing
                    Creative Writing
                    English Proficiency (Spoken)
                    English Proficiency (Written)
                    Proofreading
            ",https://internshala.com/job/detail/content-writer-job-in-delhi-at-gyandhan1708405710
Relationship Associate,"
                        GyanDhan                    ","
                                Starts Immediately
                            ","
                                    ₹ 2,50,000 - 3,00,000                                ",0-1 years,"
    Key responsibilities:

1. Develop and maintain strong relationships with existing clients
2. Work closely with cross-functional teams, including sales and operations, to ensure seamless client experiences
3. Identify potential opportunities and inform the sales team to follow up
4. Resolve complaints and issues efficiently and in a timely manner

Requirements:

1. Excellent communication and interpersonal skills
2. Good analytical skills","
                    Sales pitch
            ",https://internshala.com/job/detail/fresher-relationship-associate-job-in-noida-at-gyandhan1708405808
Telecaller,"
                        Bonanza Portfolio Limited                    ","
                                Starts Immediately
                            ","
                                    ₹ 2,40,000 - 4,00,000                                ",1-5 years,"
    Key responsibilities: 

1. Calling on data & generating leads
2. Working on the sales of financial products over the phone

Requirements:

1. Committed candidates","
                    Hindi Proficiency (Spoken)
            ",https://internshala.com/job/detail/telecaller-job-in-kalyan-at-bonanza-portfolio-limited1708405923
Relationship Manager (Financial Market),"
                        Bonanza Portfolio Limited                    ","
                                Starts Immediately
                            ","
                                    ₹ 2,40,000 - 4,00,000                                ",1-5 years,"
    Key responsibilities: 

1. Handle fieldwork of all financial products (equity, MF, bonds)
2. Work on client meetings
3. Work on daily activity","
                    Sales
            ",https://internshala.com/job/detail/relationship-manager-financial-market-job-in-multiple-locations-at-bonanza-portfolio-limited1708406123
Human Resources (HR) Specialist,"
                        Ctruh                    ","
                                Starts Immediately
                            ","
                                    ₹ 5,00,000 - 12,00,000                                ",3-4 years,"
    Ctruh is seeking a dynamic HR generalist to join our team in Bangalore. This is a full-time, onsite position ideal for someone passionate about shaping the workplace and enhancing employee experiences. As an HR generalist at Ctruh, you will play a crucial role in supporting our HR functions, from strategic planning to day-to-day operations, ensuring the alignment of HR policies with our business goals.

Key responsibilities:

1. Talent acquisition & management: Lead the recruitment process, from sourcing to onboarding, ensuring we attract and retain top talent. This includes creating job descriptions, screening candidates, conducting interviews, and managing the offer process
2. Performance management: Implement performance review processes, providing constructive feedback and coaching to employees, and assisting in the development of performance improvement plans
3. Payroll & benefits administration: Oversee payroll processing and manage employee benefits, ensuring accuracy and compliance with all legal requirements
4. Employee relations: Act as a point of contact for employee queries, fostering a positive work environment and resolving issues that arise
5. HR policy & compliance: Develop and update HR policies and procedures in line with current laws and regulations. Ensure all HR activities comply with legal standards
6. Training & development: Identify training needs and develop programs to enhance employees' skills and knowledge
7. Strategic HR initiatives: Partner with leadership to develop and implement HR strategies that support the organization's goals

Qualifications:

1. Bachelor's degree in human resources, business administration, or related field; a Master's degree is a plus
2. 3-4 years of experience in human resources, with a proven track record in handling a broad range of HR functions
3. Strong understanding of recruitment practices, labor laws, and employee relations
4. Excellent communication and interpersonal skills, with the ability to interact at all levels of the organization
5. Proficient in MS Office or Google Suite, with a knack for learning new software and systems
6. Professional HR certification (e.g., PHR, SPHR, SHRM-CP) is advantageous

Work days: We work 6 days a week from Monday to Saturday (Work from office - Monday to Friday, work from home - Saturday)","
                    English Proficiency (Spoken)
                    English Proficiency (Written)
                    MS-Excel
                    MS-Office
            ",https://internshala.com/job/detail/human-resources-hr-specialist-job-in-bangalore-at-ctruh1708406531
Administration Associate,"
                        WebRangers Talent Management                    ","
                                Starts Immediately
                            ","
                                    ₹ 2,00,000 - 2,20,000                                ",0-1 years,"
    Key responsibilities:

1. Office management and support: Ensure efficient and smooth day-to-day operation of the office. This includes managing office supplies, maintaining office equipment, and ensuring the office environment is clean, organized, and safe
2. Document management: Create, manage, and organize documents and files to ensure easy access and retrieval. This includes both digital and physical filing systems. Be responsible for ensuring the confidentiality and security of important documents
3. Meeting coordination: Schedule and coordinate meetings, appointments, and conferences. This includes managing calendars for senior staff, preparing meeting agendas, and arranging logistics like conference rooms and equipment
4. Communication support: Serve as a point of contact for internal and external stakeholders. This involves answering phone calls, managing email correspondence, and directing inquiries to the appropriate departments or individuals
5. Data entry and record keeping: Accurately enter data into various systems and maintain up-to-date records. This includes processing paperwork, updating databases, and ensuring all records are accurate and current
6. Financial assistance: Assist with basic financial management tasks including invoicing, processing expense reports, and preparing budgets under the supervision of the finance department
7. Event planning: Assist in the planning and execution of company events, including logistics, invitations, venue selection, and coordination of vendors
8. Travel arrangements: Organize travel arrangements for staff, including flights, accommodation, and transportation. Ensure all travel plans adhere to company policies and budget constraints
9. Administrative support for teams: Provide direct administrative support to specific departments or teams as required. This could include project management assistance, research tasks, and preparing presentations
10. Continuous improvement: Actively seek ways to improve administrative processes and efficiency. Participate in training and professional development opportunities
11. Compliance: Ensure all administrative activities are conducted in compliance with company policies and regulatory requirements","
                    Accounting
                    Effective Communication
                    English Proficiency (Spoken)
                    English Proficiency (Written)
                    Event Management
                    MS-Excel
                    MS-Office
                    MS-PowerPoint
                    MS-Word
                    Negotiation & Problem-solving
                    Problem Solving
                    Project Management
                    Time Management
            ",https://internshala.com/job/detail/fresher-administration-associate-job-in-mumbai-at-webrangers-talent-management1708406670
Field Sales Executive,"
                        Next You Labs                    ","
                                Starts Immediately
                            ","
                                    ₹ 2,50,000 - 4,00,000                                ",0-1 years,"
    Next You Labs creates software at incredibly low costs so small and medium-sized enterprises may easily access it and use it to automate their operations and run efficiently. We are looking for a competitive and trustworthy sales executive to help us build up our business activities. The candidates will be working on B2B sales. The responsibilities include discovering and pursuing new sales prospects, negotiating deals, and maintaining customer satisfaction. 

Key responsibilities: 

1. Conduct market research to identify selling possibilities and evaluate customer needs
2. Actively seek out new sales opportunities through cold calling, networking, and social media
3. Set up meetings with potential clients and listen to their wishes and concerns
4. Prepare and deliver appropriate presentations on products and services
5. Reach out to clients; for example, placement agencies to sell the product
6. Negotiate/close at least 2 deals in the month
7. Gather feedback from customers or prospects and share with internal teams

Note: The incentives will be based on the extra revenue/sales generated by the sales executive.","
                    Negotiation & Problem-solving
                    Sales
                    Sales pitch
            ",https://internshala.com/job/detail/fresher-field-sales-executive-job-in-multiple-locations-at-next-you-labs1708415526
Customer Success Associate,"
                        Internshala                    ","
                                Starts Immediately
                            ","
                                    ₹ 3,60,000 - 5,00,000                                ",1-3 years,"
    We are looking for a dynamic and proactive Customer Success Associate to join our Enterprise Sales Team. The ideal candidate will be a master stakeholder manager with a 'get things done' attitude, exceptional problem-solving skills, and a keen analytical mindset. As a Customer Success Associate, you will play a crucial role in understanding and fulfilling our enterprise clients' hiring requirements, curating customized hiring solutions, and delivering success.

Key responsibilities:

1. Customized Solution Development: Analyze clients' hiring challenges and current pain points to devise customized solutions. Work closely with various teams within Internshala to deliver and execute these solutions effectively, ensuring client success and satisfaction. 
2. Client Relationship Management: Maintain constant communication with clients throughout the hiring process, from initial contact until the successful closure of positions. Act as the primary point of contact for any queries, updates, or feedback.
3. Stakeholder management: Utilize exceptional collaboration skills to work alongside the product marketing and design teams to ensure seamless execution. Your ability to manage and align diverse stakeholder interests will be critical to the success of the enterprise sales team.","
                    Effective Communication
            ",https://internshala.com/job/detail/customer-success-associate-job-in-gurgaon-at-internshala1708403573
Graphic Designer,"
                        Growth SRC Media                    ","
                                Starts Immediately
                            ","
                                    ₹ 2,00,000 - 2,40,000                                ",0-2 years,"
    We are looking for a junior graphic designer who will play a critical role in creating creative and appealing visuals for our social media channels as well as digital properties. This entry-level position is for individuals with 0 to 6 months of experience with basic English communication skills. We are seeking candidates with strong graphics skills, an eye for detail, and creativity. If you are internet-savvy, love spending time on social media, and are ready to contribute to shaping the digital footprint of our brands, we would love to chat with you.

Key responsibilities: 

1. Work on social media content (Carousels/documents/swipe posts for Instagram, Pinterest & LinkedIn)
2. Work on creative images & infographics (For our owned properties)
3. Work on creatives for our online and in-person events

Apply now if you feel you have the following:

1. Graphics & editing skills: Develop innovative and visually appealing graphic designs for a variety of digital platforms, including websites and social media
2. Internet savvy and social media enthusiast: Display a strong affinity towards using social media platforms and showcase internet savviness
3. Trend awareness: Stay updated with current design trends and incorporate them into your work to keep our digital presence fresh and appealing","
                    Adobe Creative Suite
                    Adobe Illustrator
                    Adobe Photoshop
                    UI & UX Design
                    Video Editing
            ",https://internshala.com/job/detail/fresher-graphic-designer-job-in-pune-at-growth-src-media1708407434
Ui/UX Figma Expert,"
                        Maayasthra                    ","
                                Starts Immediately
                            ","
                                    ₹ 3,00,000 - 7,20,000                                ",1 year,"
    Key responsibilities:

1. Developing effective visuals for various digital platforms
2. Designing and formatting newsletters, websites, logos, banners, and more
3. Working closely with the team to ensure quality assurance across all projects
4. Brainstorming ideas to create original and creative visuals
5. Utilizing various applications to optimize the content for the digital space
6. Exploring new trends and technologies to stay ahead in the industry

Who can apply:

1. Proficiency in Figma is a must. Added bonus: PS & AI
2. Must have a strong eye for detail 
3. Must be eager to join a collaborative team of professionals","
                    Adobe Illustrator
                    Adobe Photoshop
                    Figma
            ",https://internshala.com/job/detail/ui-ux-figma-expert-job-in-chennai-at-maayasthra1708407672
Data Scientist,"
                        BlobCity                    ","
                                Starts Immediately
                            ","
                                    ₹ 3,00,000                                ",0-2 years,"
    Key responsibilities: 

1. Working on customer projects on ML/AI/ NLP stack and building our existing AI stack
2. Develop and maintain machine learning models to predict and optimize business decisions
3. Develop dashboards and reports that provide actionable insights to our customers
4. Collaborate with cross-functional teams to understand business objectives and frame data questions to provide valuable insights
5. Keep up-to-date with emerging technologies and how they can be used to drive value

Requirements:

1. Proficiency in Python programming language
2. Strong knowledge of statistical analysis and modelling techniques
3. Familiarity with data manipulation tools such as SQL, Excel, or Pandas
4. Experience with data visualization tools such as Matplotlib, Plotly, and Seaborn
5. Good communication and interpersonal skills
6. Ability to work independently and in a team environment
7. Strong attention to detail and ability to meet deadlines","
                    Data Analytics
                    Data Science
                    Deep Learning
                    Machine Learning
                    Natural Language Processing (NLP)
                    Python
            ",https://internshala.com/job/detail/fresher-data-scientist-job-in-mumbai-at-blobcity1708422843
Graphic Designer,"
                        Innovate Networks E-Services Private Limited                    ","
                                Starts Immediately
                            ","
                                    ₹ 3,00,000 - 5,00,000                                ",1-3 years,"
    As a graphic designer, you will be responsible for the visual styling and images in a variety of mediums inclusive of, but not limited to books, magazines, newspapers, product packaging, websites, advertisements, etc. You will be expected to/ required to take direction from written or spoken ideas and convert them seamlessly into images, layouts, and other designs, overlooking the entire design process right from the design stage of the project till execution. 

Key responsibilities:

1. Take the design 'brief' to record requirements and clients' needs 
2. Ensure an understanding of client needs and determine how best to represent the concept visually
3. Constantly communicate with the clients to develop an artistic approach and style - determining which photographs, art or other design elements will be used 
4. Develop the overall look or style of the campaign 
5. Supervise the creative team to prepare detailed working designs, drawings, models, schemes, etc. 
6. Use computer-aided software, and amend designs according to the client's final comments
7. Create final designs and present options for design treatments 
8. Coordinate activities and other artistic or creative departments 
9. Work on proofreading and preparing designs to be sent to print; this involves expert use of graphic design software 
10. Work simultaneously on multiple projects based on current client workload

Required skills:

1. Bachelor's Degree in Fashion Communication/Fine Arts/Graphic Design/Applied Arts 
2. Extensive experience with Illustrator, Photoshop, and Motion graphics - Visual intelligence 
3. Ability to explore various creative formats including but not limited to animation, video, space design, etc.
4. 1+ years in professional commercial design, preferably with a marketing or creative agency 
5. Adaptive design eye and skill
6. Excellent communication skills 
7. Ability to absorb and apply constructive criticism from peers and clients 

What will make you stand out?

1. A great campaign portfolio (A few awards will get you added points)
2. A good understanding of varying industry developments
3. Agency experience
4. Experience dealing with varying industries and clients
5. A go-getter attitude
6. Branding experience
7. Ability to be calm and work under pressure
8. Willingness to learn
9. A sense of ownership and responsibility","
                    Adobe After Effects
                    Adobe Creative Suite
                    Adobe Illustrator
                    Adobe Indesign
                    Adobe Photoshop
                    Adobe Photoshop Lightroom CC
                    Adobe Premiere Pro
                    CorelDRAW
                    UI & UX Design
                    Video Editing
            ",https://internshala.com/job/detail/graphic-designer-job-in-bangalore-at-innovate-networks-e-services-private-limited1708409847
Business Development Executive,"
                        InfyBytes AI Labs Private Limited                    ","
                                Starts Immediately
                            ","
                                    ₹ 3,00,000 - 4,00,000                                ",0-2 years,"
    Key responsibilities:

1. Lead product sales in schools by scheduling & giving product demos to relevant stakeholders & closing sales by following up with them
2. Pitch, demonstrate, and advocate the value of our product to school principals and teachers, emphasizing its benefits for schools, educators, students, and parents
3. Comprehend the requirements of schools, teachers, owners, and principals, and communicate these insights to the product team
4. Maintain records of your daily, weekly, and monthly sales activities

Skills & requirements:

1. Can learn new things at a fast pace
2. Proficiency in both spoken English and spoken Hindi, is a must-have
3. Critical thinking and good decision-making capabilities are prerequisites
4. Should have access to a laptop and an Android phone

Note: Working days are 6 days a week (Monday-Saturday)","
                    English Proficiency (Spoken)
                    English Proficiency (Written)
                    Hindi Proficiency (Spoken)
            ",https://internshala.com/job/detail/fresher-remote-business-development-executive-job-at-infybytes-ai-labs-private-limited1708408428
Senior Teacher,"
                        EduMENTOR Educational Services Private Limited                    ","
                                Starts Immediately
                            ","
                                    ₹ 6,00,000 - 8,00,000                                ",0-1 years,"
    Key responsibilities: 

1. Taking classes through an offline channel
2. Handling doubts and providing solutions 
3. Working on content feedback fixing
4. Working on personalized learning making it fun & interactive

Profiles Offered - mathematics/quantitative aptitude/verbal ability/ logical reasoning/psychology 

Location :

1. North Delhi (Pitampura, Rohini, Model Town)
2. East Delhi (Preet Vihar, Karkardooma, Dilshad Garden, Krishna Nagar)
3. West Delhi (Ramesh Nagar, Rajouri Garden, Janakpuri, Patel Nagar, Dwarka, Pashchim Vihar)
4. South Delhi (East of Kailash)
5. NCR (Noida, Sahibabad, RDC-Ghaziabad)","
                    English Proficiency (Spoken)
                    Teaching
            ",https://internshala.com/job/detail/fresher-senior-teacher-job-in-multiple-locations-at-edumentor-educational-services-private-limited1708409009
Digital Marketing Specialist,"
                        Digital Factorys                    ","
                                Starts Immediately
                            ","
                                    ₹ 5,00,000                                ",2 years,"
    Key responsibilities: 

1. Work on digital ads generation
2. Work on performance marketing
3. Work on Google leads generation","
                    Google AdWords
                    Google Analytics
                    YouTube Ads
            ",https://internshala.com/job/detail/digital-marketing-specialist-job-in-pimpri-chinchwad-at-digital-factorys1708415683
Sales Officer,"
                        WeMakeScholars                    ","
                                Starts Immediately
                            ","
                                    ₹ 3,50,000 - 3,90,000                                ",0-1 years,"
    Key responsibilities:

1. Work on being familiar with the underwriting criteria of our partner banks, which include SBI, BOB, ICICI, Axis Bank, HDFC, etc.
2. Screen the education loan applications, advise students on the documentation, and coordinate with bank staff for smooth processing of the education loan
3. Work on solving students' queries
4. Manage the process from eligibility to the sanctioning of the loan","
                    English Proficiency (Spoken)
                    English Proficiency (Written)
                    Gujarati Proficiency (Spoken)
                    Hindi Proficiency (Spoken)
                    Tamil Proficiency (Spoken)
            ",https://internshala.com/job/detail/fresher-sales-officer-job-in-multiple-locations-at-wemakescholars1708415737
Android Developer,"
                        QUARTERSTACK TECHNOLOGIES PRIVATE LIMITED                    ","
                                Starts Immediately
                            ","
                                    ₹ 3,00,000 - 3,00,001                                ",0-3 years,"
    Key responsibilities: 

1. Collaborate with cross-functional teams to understand project requirements and deliver robust Android applications
2. Develop and maintain Android applications, ensuring high performance and responsiveness
3. Work closely with UX/UI designers to implement visually appealing and intuitive interfaces
4. Collaborate with back-end developers to integrate mobile applications with server-side solutions
5. Conduct code reviews, testing, and debugging to ensure code quality and application stability
6. Stay informed about the latest Android development trends, tools, and best practices
7. Contribute to the continuous improvement of development processes and methodologies","
                    Android
                    Java
                    Kotlin
            ",https://internshala.com/job/detail/remote-android-developer-job-at-quarterstack-technologies-private-limited1708415789
Laravel Developer,"
                        QUARTERSTACK TECHNOLOGIES PRIVATE LIMITED                    ","
                                Starts Immediately
                            ","
                                    ₹ 3,00,000                                ",0-3 years,"
    Key responsibilities: 

1. Collaborate with cross-functional teams to understand project requirements and deliver high-quality software solutions
2. Develop and maintain web applications using the Laravel PHP framework. Implement efficient, reusable, and testable code
3. Work closely with front-end developers to integrate user-facing elements using Blade templates
4. Participate in database design and optimization
5. Troubleshoot, debug, and resolve software defects and issues
6. Stay up-to-date with the latest Laravel and PHP trends and best practices
7. Contribute to the continuous improvement of development processes and methodologies","
                    LARAVEL
                    MongoDB
                    MySQL
                    PHP
            ",https://internshala.com/job/detail/remote-laravel-developer-job-at-quarterstack-technologies-private-limited1708415837
React Native Developer,"
                        QUARTERSTACK TECHNOLOGIES PRIVATE LIMITED                    ","
                                Starts Immediately
                            ","
                                    ₹ 3,00,000 - 3,00,001                                ",0-3 years,"
    Key responsibilities: 

1. Collaborate with cross-functional teams to design, develop, and deploy new features for mobile applications
2. Build and maintain efficient, reusable, and reliable React Native code
3. Work closely with UX/UI designers to implement visually appealing and intuitive mobile interfaces
4. Ensure the performance, quality, and responsiveness of applications
5. Identify and troubleshoot issues, and participate in the resolution of software defects
6. Stay informed about emerging trends and technologies in mobile development
7. Contribute to the improvement of development processes and methodologies","
                    Git
                    React Native
                    Redux
            ",https://internshala.com/job/detail/remote-react-native-developer-job-at-quarterstack-technologies-private-limited1708415962
Junior Operations Manager,"
                        UFaber Edutech                    ","
                                Starts Immediately
                            ","
                                    ₹ 3,00,000 - 3,60,000                                ",1-5 years,"
    As a Junior Operations Manager at UFaber Edutech, you will play a crucial role in ensuring smooth and efficient operations within the company. Your proficiency in both spoken and written English, as well as your expertise in Database Management System (DBMS), will be key assets in this dynamic role.

Key responsibilities:

1. Assist in the development and implementation of operational strategies to enhance overall efficiency
2. Monitor and analyze operational processes to identify areas for improvement and optimization
3. Collaborate with various teams to ensure seamless coordination and execution of tasks
4. Maintain and update databases to ensure accurate and up-to-date information
5. Prepare reports and presentations to communicate operational performance and trends
6. Help in the coordination of events and activities to promote team building and a positive work culture

If you are a proactive and detail-oriented individual with a passion for operations management, we would love to have you on board to contribute to the success of UFaber Edutech. Join us in revolutionizing the education industry and making a meaningful impact on the lives of students worldwide","
                    English Proficiency (Spoken)
                    English Proficiency (Written)
            ",https://internshala.com/job/detail/junior-operations-manager-job-in-multiple-locations-at-ufaber-edutech1708419640
Business Development Associate,"
                        Universal Adventures                    ","
                                Starts Immediately
                            ","
                                    ₹ 2,40,000 - 3,60,000                                ",0-3 years,"
    Key responsibilities:

1. Calling interested clients
2. Identifying sales opportunities
3. Explaining the products to customers
4. Closing business deals
5. Negotiating with clients
6. Following up with customers
7. Meeting the sales targets
8. Managing customer relationships
9. Ensuring sales growth","
                    English Proficiency (Spoken)
                    Hindi Proficiency (Spoken)
            ",https://internshala.com/job/detail/remote-business-development-associate-job-at-universal-adventures1708419553
Junior Travel & Tourism Associate,"
                        Universal Adventures                    ","
                                Starts Immediately
                            ","
                                    ₹ 2,40,000 - 3,60,000                                ",0-3 years,"
    Key responsibilities:

1. Call interested clients
2. Identify sales opportunities
3. Explain the products to customers
4. Close business deals
5. Negotiate with the clients
6. Follow up with customers
7. Meet sales targets
8. Manage customer relationships
9. Ensure sales growth","
                    English Proficiency (Spoken)
                    Hindi Proficiency (Spoken)
            ",https://internshala.com/job/detail/remote-junior-travel-tourism-associate-job-at-universal-adventures1708419525
